Metric,n,Unaided_Mean,Unaided_SD,Unaided_Median,Unaided_IQR,Unaided_95CI_Lower,Unaided_95CI_Upper,Assisted_Mean,Assisted_SD,Assisted_Median,Assisted_IQR,Assisted_95CI_Lower,Assisted_95CI_Upper,Mean_Difference,P_Value,P_TwoSided_Wilcoxon,P_Value_Text,Effect_Size_r,Improvement_Pct
Diagnostic Accuracy Score,38,2.6051,0.5745,2.5264,0.7056,2.4162,2.7939,3.2037,0.6137,3.2071,0.9615,3.0019,3.4054,0.5986,0.0000,0.0000,***,0.7471,22.9783
Management Quality Score,38,2.4899,0.4631,2.5339,0.8411,2.3377,2.6421,2.6514,0.4276,2.6362,0.6667,2.5108,2.7919,0.1615,0.0000,0.0000,***,0.6838,6.4843
Top-3 Diagnostic Utility,38,0.2842,0.1864,0.2503,0.2000,0.2229,0.3454,0.4571,0.2131,0.4741,0.3438,0.3871,0.5272,0.1730,0.0000,0.0000,***,0.7358,60.8702
Harm Rate (Dangerous Management),38,0.2222,0.1936,0.1741,0.3241,0.1585,0.2858,0.1546,0.1392,0.1333,0.1792,0.1088,0.2003,-0.0676,0.0002,0.0002,***,0.6040,-30.4276
Success Rate (Adequate or Perfect),38,0.6032,0.2739,0.5359,0.5310,0.5132,0.6932,0.6566,0.2627,0.6833,0.4333,0.5702,0.7429,0.0534,0.0030,0.0030,**,0.4807,8.8473
Diagnosis Confidence,38,3.1323,0.5762,3.0000,0.3965,2.9429,3.3217,3.3686,0.5762,3.2540,0.6600,3.1792,3.5580,0.2364,0.0002,0.0002,***,0.6069,7.5459
Management Confidence,38,3.3527,0.6728,3.1333,0.8500,3.1315,3.5739,3.5356,0.6952,3.3988,1.0917,3.3071,3.7641,0.1829,0.0007,0.0007,***,0.5512,5.4548
