Metric,n,Unaided_Mean,Unaided_SD,Unaided_Median,Unaided_IQR,Unaided_95CI_Lower,Unaided_95CI_Upper,Assisted_Mean,Assisted_SD,Assisted_Median,Assisted_IQR,Assisted_95CI_Lower,Assisted_95CI_Upper,Mean_Difference,P_Value,P_TwoSided_Wilcoxon,P_Value_Text,Effect_Size_r,Improvement_Pct
Diagnostic Accuracy Score,38,2.6094,0.5724,2.5644,0.7089,2.4212,2.7975,3.1785,0.5852,3.1131,0.9303,2.9861,3.3708,0.5691,0.0000,0.0000,***,0.7503,21.8100
Management Quality Score,38,2.4982,0.4652,2.5357,0.8557,2.3453,2.6511,2.6533,0.4431,2.6756,0.7411,2.5076,2.7989,0.1551,0.0000,0.0000,***,0.6780,6.2066
Top-3 Diagnostic Utility,38,0.2854,0.1851,0.2308,0.1987,0.2246,0.3463,0.4526,0.2012,0.4606,0.3332,0.3865,0.5188,0.1672,0.0000,0.0000,***,0.7360,58.5753
Harm Rate (Dangerous Management),38,0.2182,0.1909,0.1800,0.2851,0.1555,0.2809,0.1569,0.1412,0.1333,0.2079,0.1105,0.2034,-0.0613,0.0002,0.0002,***,0.5942,-28.0769
Success Rate (Adequate or Perfect),38,0.6072,0.2700,0.5890,0.4575,0.5185,0.6960,0.6590,0.2684,0.6933,0.4049,0.5708,0.7472,0.0518,0.0017,0.0017,**,0.5083,8.5248
Diagnosis Confidence,38,3.1414,0.5733,3.0000,0.3554,2.9530,3.3299,3.3648,0.5826,3.2337,0.7083,3.1733,3.5563,0.2233,0.0003,0.0003,***,0.5872,7.1087
Management Confidence,38,3.3478,0.6741,3.1292,0.8818,3.1262,3.5694,3.5353,0.6999,3.3958,1.0667,3.3052,3.7653,0.1875,0.0005,0.0005,***,0.5632,5.5998
